URL,Text,Links,Image URLS,Image Alt Text
"http://theartofgooglebooks.tumblr.com/post/102913798985/illustration-photographed-through-tissue-the
","Illustration photographed through tissue.
The frontispiece to The Golden Threshold by Sarojini Naidu (1905). Original from the University of Michigan. Digitized November 20, 2006.",[u'http://books.google.com/books?id=XM8fAAAAMAAJ&dq=golden&pg=PP10#v=onepage&q&f=false'],[u'http://36.media.tumblr.com/c95b6356fed69c0f82ab0b6ecb67bdb8/tumblr_nf1kba2pKq1qixa76o1_500.png'],"[u'Illustration photographed through tissue.\nThe frontispiece to The Golden Threshold\xa0by Sarojini Naidu (1905). Original from the University of Michigan. Digitized November 20, 2006.']"
"http://theartofgooglebooks.tumblr.com/post/102913791170/blue-links-from-the-table-of-contents-of-golden
","Blue links.
From the table of contents of Golden Remains of the Ever Memorable Mr. John Hales (1711). Original from Ghent University. Digitized January 16, 2008.",[u'http://books.google.com/books?id=ERsPAAAAQAAJ&dq=golden&pg=PR20#v=onepage&q&f=false'],[u'http://41.media.tumblr.com/52365f73810c55476b69aa1f94367cd8/tumblr_nf1lblHNCU1qixa76o1_500.png'],"[u'Blue links.\nFrom the table of contents of Golden Remains of the Ever Memorable Mr. John Hales (1711). Original from Ghent University. Digitized January 16, 2008.']"
"http://theartofgooglebooks.tumblr.com/post/102913785475/ink-drips-from-p-52-53-of-%C3%A0-la-california
","Ink drips.
From p. 52-53 of À la California: Sketches of Life in the Golden State by Albert S. Evans (1873). Original from the University of California. Digitized October 16, 2007.",[u'http://books.google.com/books?id=I4lCAAAAIAAJ&dq=golden&pg=PA53#v=twopage&q&f=false'],[u'http://40.media.tumblr.com/90eb2f4d9b4a9e4add3623b7c5e71720/tumblr_nf1lt2ozqs1qixa76o1_500.png'],"[u'Ink drips.\nFrom p. 52-53 of \xc0 la California: Sketches of Life in the Golden State by Albert S. Evans (1873). Original from the University of California. Digitized October 16, 2007.']"
"http://theartofgooglebooks.tumblr.com/post/102913780040/child-painted-illustrations-throughout-alnomuc
","Child-painted illustrations.
Throughout Alnomuc: or, The Golden Rule by John H. Amory (1837). Original from the New York Public Library. Digitized May 18, 2007.",[u'http://books.google.com/books?id=JmsCAAAAYAAJ&dq=golden&pg=PA46-IA1#v=onepage&q&f=false'],"[u'http://41.media.tumblr.com/4f0d77457d2b1da2924f928873992eb1/tumblr_nf1lztkTBU1qixa76o3_500.png', u'http://41.media.tumblr.com/7d448c50903987d03c00dd1d49688e81/tumblr_nf1lztkTBU1qixa76o2_500.png', u'http://36.media.tumblr.com/b44496930b649cb6999b958df86fd27c/tumblr_nf1lztkTBU1qixa76o1_500.png']","[u'', u'', u'']"
"http://theartofgooglebooks.tumblr.com/post/102538473025/bookplate-with-accoutrement-from-the-front
","Bookplate with accoutrement.
From the front matter of La Règle de l'Étroite Observance de Sainte Claire Avec les Constitutions (1733). Original from the Lyon Public Library. Digitized November 2, 2010. ",[u'http://books.google.com/books?id=1afC5i42l7wC&dq=claire&pg=PP2#v=onepage&q&f=false'],[u'http://40.media.tumblr.com/ffbcd5d86d48cb667d282757f3197e42/tumblr_nezjhb38gO1qixa76o1_500.png'],"[u""Bookplate with accoutrement.\nFrom the front matter of La R\xe8gle de l'\xc9troite Observance de Sainte Claire Avec les Constitutions (1733). Original from the Lyon Public Library. Digitized November 2, 2010.\xa0""]"
"http://theartofgooglebooks.tumblr.com/post/102538468270/circulation-slip-with-checkouts-between-1916-and
","Circulation slip with checkouts between 1916 and 1952. 
From the back matter of Marie-Claire by Marguerite Audoux (1911). Original from the University of California. Digitized November 13, 2007.",[u'http://books.google.com/books?id=FWVEAAAAIAAJ&dq=claire&pg=PA214#v=onepage&q&f=false'],[u'http://40.media.tumblr.com/31dd221f784c05b4337ceed5d9acc5cc/tumblr_nezilmEoa41qixa76o1_500.png'],"[u'Circulation slip with checkouts between 1916 and 1952.\xa0\nFrom the back matter of Marie-Claire by Marguerite Audoux (1911). Original from the University of California. Digitized November 13, 2007.']"
"http://theartofgooglebooks.tumblr.com/post/102538462660/library-stamps-1-2-3-4-5-6-7-8-9
","Library stamps (1, 2, 3, 4, 5, 6, 7, 8, 9).","[u'http://books.google.com/books?id=p3-HEZn7JFwC&dq=claire&pg=PP5#v=onepage&q&f=false', u'http://books.google.com/books?id=yPk9JULk6iQC&dq=claire&pg=PP8#v=onepage&q&f=false', u'http://books.google.com/books?id=1afC5i42l7wC&dq=claire&pg=PA2#v=onepage&q&f=false', u'http://books.google.com/books?id=0bYUAAAAQAAJ&dq=claire&pg=PP6#v=onepage&q&f=false', u'http://books.google.com/books?id=bs8L2hMzV6IC&dq=claire&pg=PP5#v=onepage&q&f=false', u'http://books.google.com/books?id=p1BRAAAAYAAJ&dq=code&pg=PP5#v=onepage&q&f=false', u'http://books.google.com/books?id=15oFAAAAQAAJ&dq=claire&pg=PP10#v=onepage&q&f=false', u'http://books.google.com/books?id=mDMOAAAAYAAJ&dq=macon&pg=PP2#v=onepage&q&f=false', u'http://books.google.com/books?id=KGIHAAAAQAAJ&dq=claire&pg=PP10#v=onepage&q&f=false']","[u'http://41.media.tumblr.com/ee955833f224f60cb30cd1a35886614d/tumblr_nel1d7yIft1qixa76o5_r1_250.png', u'http://36.media.tumblr.com/027b68710a5bef97420b7b9c38b476fd/tumblr_nel1d7yIft1qixa76o4_r1_250.png', u'http://40.media.tumblr.com/ff161540d17eda6c3723cdfed9e9e8ae/tumblr_nel1d7yIft1qixa76o6_r1_500.png', u'http://41.media.tumblr.com/02c2adf706218137f8d219690a241a45/tumblr_nel1d7yIft1qixa76o8_r1_250.png', u'http://40.media.tumblr.com/b091ae227f0cfd91d3d0cd15165af943/tumblr_nel1d7yIft1qixa76o3_r1_250.png', u'http://41.media.tumblr.com/f4b60736196f07b4248c0149271085c6/tumblr_nel1d7yIft1qixa76o9_r1_500.png', u'http://41.media.tumblr.com/1691d46d205aad1137b22e4c049dceb7/tumblr_nel1d7yIft1qixa76o2_r2_250.png', u'http://40.media.tumblr.com/cc44b916297286c224b3687ad55e8287/tumblr_nel1d7yIft1qixa76o1_250.png', u'http://40.media.tumblr.com/b52f2b2d79608861976443fbefdad69d/tumblr_nel1d7yIft1qixa76o7_r2_250.png']","[u'1', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9']"
"http://theartofgooglebooks.tumblr.com/post/102538456855/bookplate-visible-through-torn-page-from-the
","Bookplate visible through torn page.
From the front matter of La Circe con Otras Rimas y Prosas by Felix Lope de Vega Carpio (1624). Original from the Austrian National Library. Digitized June 25, 2014.",[u'http://books.google.com/books?id=CLxdAAAAcAAJ&dq=wendigo&pg=PP4#v=onepage&q&f=false'],[u'http://41.media.tumblr.com/2de509b2dc106299cc32119114c5ccbd/tumblr_nezlfripXh1qixa76o1_500.png'],"[u'Bookplate visible through torn page.\nFrom the front matter of La Circe con Otras Rimas y Prosas by Felix Lope de Vega Carpio (1624). Original from the Austrian National Library. Digitized June 25, 2014.']"
"http://theartofgooglebooks.tumblr.com/post/102240403325/illustration-photographed-through-folded-tissue
","Illustration photographed through folded tissue.
From p. 54-55 of “The Eagle’s Nest” in the Valley of Sixt by Sir Alfred Wills (1860).Original from Oxford University. Digitized June 15, 2006.",[u'http://books.google.com/books?id=oDoBAAAAQAAJ&dq=nest&pg=PA54-IA4#v=onepage&q&f=false'],[u'http://40.media.tumblr.com/24f5ddbd77244f304c770b2e583c34d8/tumblr_ness0b7Pnc1qixa76o1_500.png'],"[u'Illustration photographed through folded tissue.\nFrom p. 54-55 of &ldquo;The Eagle&rsquo;s Nest&rdquo; in the Valley of Sixt by Sir Alfred Wills (1860).Original from Oxford University. Digitized June 15, 2006.']"
"http://theartofgooglebooks.tumblr.com/post/102240392555/illustration-left-folded-from-p-232-33-of-the
","Illustration left folded.
From p. 232-33 of The Madras Journal of Literature and Science (1839). Original from Oxford University. Digitized November 10, 2006.",[u'http://books.google.com/books?id=HvgEAAAAQAAJ&dq=dunes&pg=PA232-IA2#v=onepage&q&f=false'],[u'http://41.media.tumblr.com/87165fc991b77cc4d0fd0fee4dee9bab/tumblr_nesws7opsv1qixa76o1_500.png'],"[u'Illustration left folded.\nFrom p. 232-33 of The Madras Journal of Literature and Science (1839). Original from Oxford University. Digitized November 10, 2006.']"
"http://theartofgooglebooks.tumblr.com/post/102240385890/patchy-glitchy-marbled-endpapers-from
","Patchy, glitchy, marbled endpapers.
From Institutiones Hermeneuticae Veteris Testamenti (1701). Original from the Complutense University of Madrid. Digitized March 24, 2009.",[u'http://books.google.com/books?id=Zsppi3EJo9MC&dq=Frida&pg=PP3#v=twopage&q&f=false'],"[u'http://40.media.tumblr.com/98fe4fbac413a9f35b417d747cebb852/tumblr_nesxewn2Pu1qixa76o1_250.png', u'http://41.media.tumblr.com/243538c96d503bed3a33113cbbd1feb4/tumblr_nesxewn2Pu1qixa76o2_250.png']","[u'', u'']"
"http://theartofgooglebooks.tumblr.com/post/102240380410/text-photographed-through-torn-page-from-p
","Text photographed through torn page.
From p. 151-52 of Macon Cook Book: A Collection of Recipes Tested Principally by Members of Benson-Cobb Chapter, Wesleyan College Alumnae, Macon, Georgia (1909). Original from the New York Public Library. Digitized September 27, 2007.",[u'http://books.google.com/books?id=mDMOAAAAYAAJ&dq=macon&pg=PA151-IA1#v=onepage&q&f=false'],[u'http://40.media.tumblr.com/f07f4770dfb7b1e82483cfa6a4f52bb3/tumblr_nel1hyV46R1qixa76o1_500.png'],"[u'Text photographed through torn page.\nFrom p. 151-52 of Macon Cook Book: A Collection of Recipes Tested Principally by Members of Benson-Cobb Chapter, Wesleyan College Alumnae, Macon, Georgia (1909). Original from the New York Public Library. Digitized September 27, 2007.']"
"http://theartofgooglebooks.tumblr.com/post/102016920620/a-recipe-for-french-dressing-more-inside
","A recipe for French dressing. 
More inside, including blackberry wine, congealed egg nog, and “Bessie Schirm’s Artichoke Pickle.”
Throughout Macon Cook Book: A Collection of Recipes Tested Principally by Members of Benson-Cobb Chapter, Wesleyan College Alumnae, Macon, Georgia (1909). Original from the New York Public Library. Digitized September 27, 2007.",[u'http://books.google.com/books?id=mDMOAAAAYAAJ&dq=macon&pg=PA119-IA1#v=onepage&q&f=false'],[u'http://40.media.tumblr.com/7d783df000eadfe0992b3059aba9205d/tumblr_nel1hmH8oO1qixa76o1_500.png'],"[u'A recipe for French dressing.\xa0\nMore inside, including blackberry wine, congealed egg nog, and &ldquo;Bessie Schirm&rsquo;s Artichoke Pickle.&rdquo;\nThroughout Macon Cook Book: A Collection of Recipes Tested Principally by Members of Benson-Cobb Chapter, Wesleyan College Alumnae, Macon, Georgia (1909). Original from the New York Public Library. Digitized September 27, 2007.']"
"http://theartofgooglebooks.tumblr.com/post/102016916175/images-photographed-through-protective-tissue
","Images photographed through protective tissue.
Throughout City of Decatur and Macon County, Illinois, v. 1, by William Edward Nelson (1910). Original from Cornell University. Digitized May 8, 2012.",[u'http://books.google.com/books?id=PrAyAQAAMAAJ&dq=macon&pg=PA12#v=onepage&q&f=false'],"[u'http://40.media.tumblr.com/73344e674f1c167a06f06aa8883b4fb9/tumblr_nel1xogZsg1qixa76o1_250.png', u'http://40.media.tumblr.com/0f417f152c446f9520224351ac805035/tumblr_nel1xogZsg1qixa76o3_250.png', u'http://41.media.tumblr.com/ae04dcddbb236f177be1bbb0d19159da/tumblr_nel1xogZsg1qixa76o2_500.png', u'http://41.media.tumblr.com/b6e8d7af81d44cd09c8e7a02d2f6d769/tumblr_nel1xogZsg1qixa76o5_250.png', u'http://40.media.tumblr.com/440610961b43f4932ebea1401a3ed397/tumblr_nel1xogZsg1qixa76o4_250.png']","[u'', u'', u'', u'', u'']"
"http://theartofgooglebooks.tumblr.com/post/36667044066/employees-autocorrected-hand-hovers-over-the
","Employee’s autocorrected hand hovers over the page.
Throughout A Dictionary of English and Welsh Surnames: With Special American Instances by Charles Wareing Endell Bardsley (1901). Does not include metadata indicating library of origination or date of digitization (but does include Stanford library artifacts).",[u'http://books.google.com/books?id=RbkEAAAAIAAJ&dq=surname&pg=PA228#v=twopage&q&f=false'],[u'http://33.media.tumblr.com/tumblr_me2n1gnEHA1qixa76o1_400.gif'],[u'Employee&rsquo;s autocorrected hand hovers over the page.\nThroughout A Dictionary of English and Welsh Surnames: With Special American Instances by Charles Wareing Endell Bardsley (1901). Does not include metadata indicating library of origination or date of digitization (but does include Stanford library artifacts).']
"http://theartofgooglebooks.tumblr.com/post/36667039111/distorted-text-throughout-english-dialect
","Distorted text.
Throughout English Dialect Society, v. XVII: The Dialect of West Somerset by Frederick Thomas Elworthy (1875). Does not include metadata indicating library of origination or date of digitization (but does include Stanford library artifacts).",[u'http://books.google.com/books?id=qHkKAAAAIAAJ&dq=paper%20dolls&pg=PA808#v=onepage&q&f=false'],"[u'http://40.media.tumblr.com/tumblr_me3y4hzJmr1qixa76o1_500.png', u'http://40.media.tumblr.com/tumblr_me3y4hzJmr1qixa76o2_500.png']","[u'', u'']"
"http://theartofgooglebooks.tumblr.com/post/36588014336/catalogers-notes-from-the-title-page-of
","
Cataloger’s notes.
From the title page of Thanksgiving: Memories of the Day, Helps to the Habit by William Adams (1867). Original from the University of California. Digitized December 5, 2006.
",[u'http://books.google.com/books?id=T7wWAAAAIAAJ&dq=thanksgiving&pg=PR4#v=onepage&q&f=false'],[u'http://40.media.tumblr.com/tumblr_me3fpojTj91qixa76o1_500.png'],"[u'\nCataloger&rsquo;s notes.\nFrom the title page of Thanksgiving: Memories of the Day, Helps to the Habit by William Adams (1867). Original from the University of California. Digitized December 5, 2006.\n']"
"http://theartofgooglebooks.tumblr.com/post/36588012306/new-physics-plate-left-folded-from-rohaults
","New physics (plate left folded). 
From Rohault’s System of Natural Philosophy, Illustrated with D. Samuel Clark’s Notes Taken Mostly Out of Sir Isaac Newton’s Philosophy, trans. by John Clarke (1735). Original from the University of Michigan. Digitized July 14, 2007.",[u'http://books.google.com/books?id=MG46AAAAMAAJ&dq=smell&pg=PA295#v=onepage&q&f=false'],[u'http://41.media.tumblr.com/tumblr_me2o01BqHR1qixa76o1_500.png'],"[u'New physics (plate left folded).\xa0\nFrom Rohault&rsquo;s System of Natural Philosophy, Illustrated with D. Samuel Clark&rsquo;s Notes Taken Mostly Out of Sir Isaac Newton&rsquo;s Philosophy, trans. by John Clarke (1735).\xa0Original from the University of Michigan. Digitized July 14, 2007.']"
"http://theartofgooglebooks.tumblr.com/post/36588010267/partial-nypl-stamp-from-the-front-matter-of-my
","Partial NYPL stamp.
From the front matter of My Year in a Log Cabin by William Dean Howells (1893). Original from the New York Public Library. Digitized July 11, 2007.","[u'http://www.nypl.org/', u'http://books.google.com/books?id=aaIEAAAAYAAJ&pg=PP2#v=onepage&q&f=false']",[u'http://41.media.tumblr.com/tumblr_mdsohbIJiu1qixa76o1_400.png'],"[u'Partial NYPL stamp.\nFrom the front matter of My Year in a Log Cabin by William Dean Howells (1893). Original from the New York Public Library. Digitized July 11, 2007.']"
"http://theartofgooglebooks.tumblr.com/post/36143914855/hybrid-proclamation-plate-left-folded-from-p
","Hybrid proclamation (plate left folded). 
From p. 432 of The Fast and Thanksgiving Days of New England by William DeLoss Love (1895). Original from Princeton University. Digitized January 28, 2009.",[u'http://books.google.com/books?id=u7c-AAAAYAAJ&dq=thanksgiving&pg=PA432-IA2#v=onepage&q&f=false'],[u'http://40.media.tumblr.com/tumblr_mdsowwhI8c1qixa76o1_500.png'],"[u'Hybrid proclamation (plate left folded).\xa0\nFrom p. 432 of The Fast and Thanksgiving Days of New England by William DeLoss Love (1895). Original from Princeton University. Digitized January 28, 2009.']"
"http://theartofgooglebooks.tumblr.com/post/36143911724/an-employees-hand-reaches-as-if-to-arrest-the
","An employee’s hand reaches as if to arrest the action of the illustration.
From p. 132 of The Log of a Sea-Waif: Being Recollections of the First Four Years of My Sea Life by Frank Thomas Bullen (1899). Original from the University of Michigan. Digitized February 6, 2007.",[u'http://books.google.com/books?id=BGoqAAAAMAAJ&pg=PA132-IA2#v=onepage&q&f=false'],[u'http://40.media.tumblr.com/tumblr_mdsobtills1qixa76o1_400.png'],"[u'An employee&rsquo;s hand reaches as if to arrest the action of the illustration.\nFrom p. 132 of The Log of a Sea-Waif: Being Recollections of the First Four Years of My Sea Life by Frank Thomas Bullen (1899). Original from the University of Michigan. Digitized February 6, 2007.']"
"http://theartofgooglebooks.tumblr.com/post/36061940369/hybrid-floor-plans-plate-left-folded-from-p
","Hybrid floor plans (plate left folded). 
From p. 161 of Haddon Hall: An Illustrated Account of the Fabric and Its History by Frank Halliday Cheetham (1904). Original from Princeton University. Digitized May 5, 2009.",[u'http://books.google.com/books?id=nsBCAAAAYAAJ&pg=PA161#v=onepage&q&f=false'],[u'http://40.media.tumblr.com/tumblr_mdjc2lGNJW1qixa76o1_400.png'],"[u'Hybrid floor plans (plate left folded).\xa0\nFrom p. 161 of\xa0Haddon Hall: An Illustrated Account of the Fabric and Its History by Frank Halliday Cheetham (1904).\xa0Original from Princeton University. Digitized May 5, 2009.']"
"http://theartofgooglebooks.tumblr.com/post/36061938587/employees-fingertips-autocorrected-with-text
","Employee’s fingertips autocorrected with text.
Throughout The Soules Preparation for Christ: A Treatise of Contrition by Thomas Hooker (1638). Original from Oxford University. Digitized September 1, 2006.",[u'http://books.google.com/books?id=6QQDAAAAQAAJ&pg=PA4#v=onepage&q&f=false'],"[u'http://40.media.tumblr.com/tumblr_md94pyByM01qixa76o1_250.png', u'http://41.media.tumblr.com/tumblr_md94pyByM01qixa76o2_250.png', u'http://40.media.tumblr.com/tumblr_md94pyByM01qixa76o3_250.png', u'http://41.media.tumblr.com/tumblr_md94pyByM01qixa76o4_250.png']","[u'', u'', u'', u'']"
"http://theartofgooglebooks.tumblr.com/post/36061936274/print-made-when-endpaper-pressed-against-wet
","Print made when endpaper pressed against wet circulation stamp ink.
From the back matter of The Water Cure in America: Over Three Hundred Cases of Various Diseases Treated with Water (1852). Original from Princeton University. Digitized January 27, 2009.",[u'http://books.google.com/books?id=UKo-AAAAYAAJ&pg=PA390#v=onepage&q&f=false'],[u'http://40.media.tumblr.com/tumblr_mctcdgBmgK1qixa76o1_500.png'],"[u'Print made when endpaper pressed against wet circulation stamp ink.\nFrom the back matter of\xa0The Water Cure in America: Over Three Hundred Cases of Various Diseases Treated with Water (1852). Original from Princeton University. Digitized January 27, 2009.']"
"http://theartofgooglebooks.tumblr.com/post/36061933871/plate-photographed-through-tissue-from-p-54
","Plate photographed through tissue.
From p. 54 of Over the Snow: or, The Montreal Carnival by William George Beers (1883). Original from Harvard University. Digitized January 8, 2008.",[u'http://books.google.com/books?id=q78TAAAAYAAJ&pg=PA54-IA1#v=onepage&q&f=false'],[u'http://41.media.tumblr.com/tumblr_mcvanfj2a01qixa76o1_500.png'],"[u'Plate photographed through tissue.\nFrom p. 54 of\xa0Over the Snow: or, The Montreal Carnival by William George Beers (1883). Original from Harvard University. Digitized January 8, 2008.']"
